route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
L0,terzic-bus,0,A. kolodvor – Centar (kružna),,3,1F4E79,FFFFFF
L1,terzic-bus,1,A. kolodvor ↔ Vinogorje,,3,1F4E79,FFFFFF
L1P,terzic-bus,1+,Vinogorska Š – Košarevac – Janiševac – Kerdeni,,3,1F4E79,FFFFFF
L2,terzic-bus,2,A. kolodvor ↔ Podvinje – Čavlički,,3,1F4E79,FFFFFF
L3,terzic-bus,3,A. kolodvor ↔ Brodski Varoš – Bečic,,3,1F4E79,FFFFFF
L4,terzic-bus,4,A. kolodvor ↔ Šestina C,,3,1F4E79,FFFFFF
L5,terzic-bus,5,A. kolodvor ↔ S. Radića – Jelas,,3,1F4E79,FFFFFF
L6,terzic-bus,6,A. kolodvor ↔ Bjeliš – Drvna industrija,,3,1F4E79,FFFFFF
